TimeStamp;Open;High;Low;Close;Volumen (BTC);Volumen(USD);Weighted Price;Simple Moving Average (10);Simple Moving Average(30);Simple Moving Average(3);Target
42165;228.7;229.75;226.83;227.8;6284.74;1434862.91;228.31;225.375;232.5536667;227.8266667;228.88
42166;227.88;229.57;227.25;229.03;4727.31;1081972.66;228.88;225.731;232.1743333;228.7933333;229.74
42167;229.14;230.7;228.29;229.4;5887.15;1352496.72;229.74;226.329;231.809;228.9766667;230.58
42168;229.3;232.04;228.06;231.64;4009.8;924578.6;230.58;226.88;231.603;229.7333333;232.26
42169;231.64;234;230.94;232.09;3586.28;832952.91;232.26;227.654;231.438;230.86;234.46
42170;232.08;237.09;231.55;235.92;10505.58;2463163.92;234.46;228.776;231.387;232.4333333;242.92
42171;236;252.05;234.35;250.09;17954.59;4361600.09;242.92;230.626;231.6186667;236.5466667;250.32
42172;250.02;257.39;243.2;247.76;16951.14;4243214.1;250.32;233.264;232.126;242.5666667;246.46
42173;247.76;251.58;240;248.4;11145.13;2746848.96;246.46;235.312;232.586;246.5666667;246.27
42174;248.45;249.93;242.14;243.7;6783.07;1670444.75;246.27;237.02;233.0083333;247.6833333;242.49
42175;243.75;245.56;239.93;244.76;4434.69;1075370.59;242.49;238.438;233.248;245.0733333;243.16
42176;244.65;245;241.06;243.64;1946.29;473260.91;243.16;239.866;233.461;243.9733333;245.43
42177;243.6;247.99;242.64;246;5149.76;1263921.54;245.43;241.435;233.6653333;243.6933333;244.36
42178;245.99;247.25;242.14;243.74;4953.9;1210524.77;244.36;242.813;233.816;244.3166667;241.24
42179;243.85;243.99;238.2;240.19;6723.31;1621933.96;241.24;243.711;233.981;243.6766667;241.38
42180;240.19;242.9;239.18;241.98;5002.93;1207599.94;241.38;244.403;234.1596667;242.3266667;241.74
42181;242.08;243.44;240;242.98;5271.85;1274423.23;241.74;244.285;234.363;241.4533333;247.41
42182;242.98;252;242.36;251.21;7101.1;1756891.09;247.41;243.994;234.744;243.51;249.31
42183;251.28;251.28;247.04;248.62;6104.31;1521893.45;249.31;244.279;235.205;246.1533333;253.79
42184;248.63;256.94;248.3;256.04;15393.1;3906641.81;253.79;245.031;235.8966667;250.17;262.39
42185;256.04;268;255;262.5;19902.44;5222157.27;262.39;247.021;236.9446667;255.1633333;257.78
42186;262.58;265.25;253.81;257.62;13395.15;3453025.86;257.78;248.483;238.0266667;257.9866667;256.01
42187;257.62;260.77;253.19;254.54;9826.99;2515778.51;256.01;249.541;239.1016667;258.7266667;254.68
42188;254.49;256.44;252.4;255.92;9153.85;2331332;254.68;250.573;240.0886667;256.1566667;257.55
42189;256.06;261.28;254.05;260.2;7909.86;2037201.25;257.55;252.204;241.1896667;256.08;266.32
42190;260.16;274.74;258.75;271.5;21362.61;5689203.06;266.32;254.698;242.6256667;259.5166667;273.28
42191;271.39;278.54;267.13;268.51;20027.86;5473288.27;273.28;257.852;244.2543333;265.7166667;266.85
42192;268.53;271.69;264.01;265.51;13755.63;3670683.41;266.85;259.796;245.6846667;268.8166667;268.37
42193;265.67;273.24;263.01;270.63;16042.27;4305219.36;268.37;261.702;247.0976667;269.5;269.23
42194;270.41;271.98;265.92;268.92;13906.64;3744064.73;269.23;263.246;248.4323333;268.15;284.47
42195;268.98;294.71;268.63;285.23;29151.31;8292731.4;284.47;265.454;250.3043333;274.0233333;292.54
42196;284.63;298.05;283.88;291.64;11693.22;3420769.32;292.54;268.93;252.4263333;282.08;306.75
42197;291.65;317.99;291.65;310.55;22497.47;6901059.79;306.75;274.004;254.9933333;294.5866667;291.52
42198;310.55;310.73;281;292.68;29775.98;8680289.61;291.52;277.688;257.0246667;296.9366667;291.1
42199;292.54;297.13;286.02;287.55;10361.08;3016087.55;291.1;281.043;258.986;296.4566667;290.14
42200;287.49;293.7;284.29;285.67;9798.38;2842900.81;290.14;283.425;260.842;290.92;281.37
42201;285.67;292.4;274.92;277.89;21103.34;5937851.73;281.37;284.234;262.1236667;287.5366667;276.71
42202;277.74;280.73;272.31;279.43;11477.06;3175870.23;276.71;285.22;263.0033333;282.74;278.78
42203;279.15;283;276.73;276.79;9362.08;2609994.79;278.78;286.261;264.0806667;278.9533333;276.09
42204;276.74;278.1;275.01;275.47;5289.04;1460235.91;276.09;286.947;265.0746667;277.1933333;277.37
42205;275.08;279.35;274.62;278.96;8818.53;2446038.23;277.37;286.237;266.2373333;277.4133333;279.06
42206;278.95;281.07;276.28;276.76;9000.55;2511729.88;279.06;284.889;267.434;277.5066667;276.51
42207;276.49;277.97;275;277.68;8318.46;2300120.88;276.51;281.865;268.47;277.6466667;277.13
42208;277.5;278.55;275.79;276.61;6439.61;1784595.61;277.13;280.426;269.5623333;277.5666667;284.68
42209;276.61;290.53;275.9;289.01;15854.1;4513273.28;284.68;279.784;271.0103333;279.44;289.1
42210;289;292;286.5;288.78;7545.89;2181492.67;289.1;279.68;272.601;283.6366667;291.63
42211;288.97;294;287.41;293.19;5298.47;1545190.05;291.63;280.706;274.264;288.47;291.92
42212;292.85;297.44;286.43;294.29;14650.73;4276819.04;291.92;282.227;275.7476667;290.8833333;294.65
42213;294.03;297;292.19;294.01;8799.04;2592630.37;294.65;283.814;277.259;292.7333333;290.69
42214;294.01;294.57;287.27;289.85;10236.16;2975568.87;290.69;285.274;278.489;292.42;287.73
42215;289.85;290.08;284.53;288.01;8108.62;2333060.22;287.73;286.31;279.3336667;291.0233333;284.15
42216;288.29;289;281.8;284.33;7902.77;2245587.53;284.15;286.819;280.2126667;287.5233333;280.43
42217;284.69;285.16;276.66;280.19;7104.07;1992192.81;280.43;287.211;281.0266667;284.1033333;279.43
42218;280.19;282.9;276.57;282.32;4530.18;1265880.68;279.43;287.441;281.8516667;281.3366667;283.16
42219;282.53;285.8;279.52;280.43;6310.61;1786928.27;283.16;287.289;282.7053333;281.0066667;283.71
42220;280.43;285.88;280.43;285;6206.12;1760746.6;283.71;286.75;283.285;282.1;282.53
42221;284.91;285.86;280.63;281.13;6549.55;1850415.94;282.53;285.84;283.5933333;283.1333333;278.76
42222;281.13;281.65;276.6;277.48;7123.81;1985840.19;278.76;284.524;283.9903333;281.6666667;277.41
42223;277.48;280.43;274.19;279.63;8664.81;2403686.81;277.41;282.8;284.2916667;279.5666667;270.44
42224;279.94;279.97;260.41;262.19;10269.87;2777400.01;270.44;280.775;284.332;275.5366667;264.16
