TimeStamp;Open;High;Low;Close;Volumen (BTC);Volumen(USD);Weighted Price;Simple Moving Average (10);Simple Moving Average(30);Simple Moving Average(3)
12.05.2015;241.3;242;237.54;241.03;8418.72;2022709.59;240.26;#N/A;#N/A;#N/A
13.05.2015;241.03;244.14;235.06;235.97;9332.47;2246344.49;240.7;#N/A;#N/A;#N/A
14.05.2015;235.97;239.7;232.22;237.13;7530.5;1782947.51;236.76;#N/A;#N/A;239.24
15.05.2015;237.12;239.28;235.12;237.37;4536.93;1076186.77;237.21;#N/A;#N/A;238.2233333
16.05.2015;237.39;237.4;234;235.66;3116.79;735534.15;235.99;#N/A;#N/A;236.6533333
17.05.2015;235.43;237;234.15;235.97;2645.16;624187.82;235.97;#N/A;#N/A;236.39
18.05.2015;235.69;236.94;231.44;232.87;7443.22;1749933.81;235.1;#N/A;#N/A;235.6866667
19.05.2015;233.03;234.24;230.86;231.4;5568.28;1295513.42;232.66;#N/A;#N/A;234.5766667
20.05.2015;231.4;234.86;231;234.43;7823.36;1827504.32;233.6;#N/A;#N/A;233.7866667
21.05.2015;234.4;236.52;233.75;235;4609.28;1084562.78;235.3;236.355;#N/A;233.8533333
22.05.2015;235;240.9;232.92;238.99;10451.8;2474671.24;236.77;236.006;#N/A;235.2233333
23.05.2015;238.8;240.67;237.4;237.76;3216.28;769659.7;239.3;235.866;#N/A;237.1233333
24.05.2015;237.87;241.64;237.66;239.22;2921.55;700689.78;239.84;236.174;#N/A;238.6366667
25.05.2015;239.69;240.1;233.1;235.59;5625.09;1329127.79;236.29;236.082;#N/A;238.4766667
26.05.2015;235.72;237.96;234;235.71;8590.08;2027436.08;236.02;236.085;#N/A;237.3833333
27.05.2015;235.71;237.35;234;235.17;8572.87;2020077.91;235.64;236.052;#N/A;235.9833333
28.05.2015;235.32;236.8;234.87;236.46;5005.98;1181332.16;235.98;236.14;#N/A;235.88
29.05.2015;236.46;236.52;234;236.03;6165.89;1451969.31;235.48;236.422;#N/A;235.7
30.05.2015;236.03;236.03;231;232.11;4245.94;989461.16;233.04;236.366;#N/A;234.8333333
31.05.2015;232.11;232.51;228;228.91;4372.21;1009782.37;230.95;235.931;#N/A;233.1566667
01.06.2015;228.91;231.2;220.65;223.51;12184.96;2745533.83;225.32;234.786;#N/A;229.77
